1000,,521.57
1000,,459.40
1000,,475.83
1000,,470.90
1000,,466.32
2000,,1009.53
2000,,1026.49
2000,,1027.21
2000,,1063.08
2000,,1050.75
3000,,1241.72
3000,,1237.66
3000,,1235.80
3000,,1238.43
3000,,1232.61
4000,,1294.49
4000,,1298.26
4000,,1303.79
4000,,1299.93
4000,,1305.24
5000,,1337.22
5000,,1327.65
5000,,1327.46
5000,,1327.35
5000,,1333.46
6000,,1352.61
6000,,1343.05
6000,,1345.50
6000,,1350.46
6000,,1364.93
8000,,1392.30
8000,,1382.48
8000,,1392.51
8000,,1387.77
8000,,1386.54
10000,,1380.39
10000,,1381.59
10000,,1384.32
10000,,1382.83
10000,,1393.46
12000,,1407.36
12000,,1410.00
12000,,1358.56
12000,,1400.70
12000,,1402.29
14000,,1427.69
14000,,1426.60
14000,,1418.50
14000,,1417.24
14000,,1375.92
16000,,1396.74
16000,,1407.62
16000,,1402.28
16000,,1389.89
16000,,1399.85
18000,,1405.28
18000,,1388.44
18000,,1407.66
18000,,1413.91
18000,,1394.75
