1000,207.85
1000,19.73
1000,24.02
1000,70.29
1000,239.16
1500,29.97
1500,112.50
1500,38.63
1500,114.80
1500,345.88
2000,220.37
2000,136.66
2000,211.60
2000,136.06
2000,224.78
3000,341.31
3000,432.93
3000,593.92
3000,798.93
3000,499.66
4000,434.42
4000,576.69
4000,616.22
4000,581.13
4000,718.17
5000,823.27
5000,662.99
5000,527.96
5000,658.63
5000,614.94
6000,729.20
6000,789.13
6000,731.95
6000,785.78
6000,612.07
8000,680.00
8000,838.20
8000,816.28
8000,814.15
8000,819.34
10000,871.60
10000,870.45
10000,862.46
10000,832.22
10000,886.55
12000,888.34
12000,899.29
12000,883.31
12000,887.93
12000,890.30
