1000,503.19
1000,515.96
1000,201.13
1000,484.52
1000,514.34
1500,715.63
1500,711.23
1500,602.75
1500,734.23
1500,753.55
2000,804.24
2000,617.30
2000,801.49
2000,810.31
2000,807.27
3000,870.15
3000,926.06
3000,931.34
3000,699.92
3000,949.41
4000,927.28
4000,941.01
4000,963.48
4000,944.26
4000,959.20
5000,878.16
5000,862.41
5000,869.61
5000,868.89
5000,920.43
6000,887.16
6000,776.49
6000,809.10
6000,888.28
6000,887.54
8000,950.11
8000,885.03
8000,962.24
8000,889.88
8000,942.06
10000,976.66
10000,783.86
10000,990.65
10000,919.26
10000,952.35
12000,931.61
12000,938.73
12000,781.00
12000,856.70
12000,952.81
