1000,642.98
1000,566.24
1000,742.46
1000,793.41
1000,334.88
1500,1254.06
1500,538.58
1500,831.09
1500,1221.53
1500,1316.54
2000,1526.04
2000,1581.87
2000,1507.54
2000,1498.02
2000,1203.48
3000,1796.47
3000,1724.29
3000,1740.41
3000,1318.00
3000,1771.49
4000,1413.68
4000,1741.70
4000,1727.72
4000,1783.05
4000,1714.17
5000,1597.61
5000,1941.36
5000,1948.03
5000,1940.44
5000,1765.93
6000,1979.00
6000,1961.84
6000,2018.31
6000,1948.47
6000,1965.81
8000,1842.08
8000,1896.52
8000,1809.32
8000,1865.87
8000,1853.24
10000,1945.10
10000,1944.79
10000,1963.53
10000,1959.98
10000,1935.94
12000,1903.61
12000,2007.19
12000,2018.76
12000,2010.04
12000,1928.10
