1000,17.55
1000,26.78
1000,13.77
1000,11.80
1000,12.41
1500,114.76
1500,525.97
1500,529.97
1500,659.84
1500,793.60
2000,293.46
2000,624.16
2000,1044.39
2000,262.49
2000,444.30
3000,396.01
3000,258.79
3000,362.01
3000,612.68
3000,541.86
4000,350.97
4000,916.26
4000,963.22
4000,772.97
4000,1237.97
5000,1373.22
5000,772.08
5000,1037.74
5000,990.84
5000,882.44
6000,1240.37
6000,1167.05
6000,1054.63
6000,1234.35
6000,983.11
8000,1497.38
8000,1462.50
8000,1534.80
8000,1592.98
8000,1334.61
10000,1511.41
10000,1598.40
10000,1563.29
10000,1629.84
10000,1425.60
12000,1651.13
12000,1629.35
12000,1454.87
12000,1573.52
12000,1621.11
