1	5000	5000	5000		125.73
2	5000	5000	5000		126.34
3	5000	5000	5000		125.21
4	5000	5000	5000		126.02
5	5000	5000	5000		126.64
1	5000	5000	5000		219.30
2	5000	5000	5000		219.51
3	5000	5000	5000		218.37
4	5000	5000	5000		217.32
5	5000	5000	5000		219.87
1	5000	5000	5000		458.22
2	5000	5000	5000		455.11
3	5000	5000	5000		456.07
4	5000	5000	5000		454.92
5	5000	5000	5000		458.97
1	5000	5000	5000		880.71
2	5000	5000	5000		886.39
3	5000	5000	5000		882.55
4	5000	5000	5000		884.89
5	5000	5000	5000		885.26
1	5000	5000	5000		1693.33
2	5000	5000	5000		1681.85
3	5000	5000	5000		1699.23
4	5000	5000	5000		1702.54
5	5000	5000	5000		1699.62
