1	1000	1000	1000		47.77
2	1000	1000	1000		55.48
3	1000	1000	1000		52.74
4	1000	1000	1000		46.15
5	1000	1000	1000		53.53
1	1500	1500	1500		53.41
2	1500	1500	1500		53.76
3	1500	1500	1500		53.71
4	1500	1500	1500		63.00
5	1500	1500	1500		61.57
1	2000	2000	2000		65.00
2	2000	2000	2000		62.58
3	2000	2000	2000		64.51
4	2000	2000	2000		63.42
5	2000	2000	2000		62.71
1	3000	3000	3000		66.96
2	3000	3000	3000		65.50
3	3000	3000	3000		66.24
4	3000	3000	3000		66.44
5	3000	3000	3000		65.11
1	4000	4000	4000		65.82
2	4000	4000	4000		66.49
3	4000	4000	4000		65.76
4	4000	4000	4000		65.46
5	4000	4000	4000		59.87
1	5000	5000	5000		64.82
2	5000	5000	5000		66.96
3	5000	5000	5000		66.33
4	5000	5000	5000		59.23
5	5000	5000	5000		67.00
1	6000	6000	6000		68.29
2	6000	6000	6000		67.08
3	6000	6000	6000		63.08
4	6000	6000	6000		53.52
5	6000	6000	6000		58.00
1	8000	8000	8000		69.24
2	8000	8000	8000		69.19
3	8000	8000	8000		67.79
4	8000	8000	8000		69.30
5	8000	8000	8000		69.42
1	10000	10000	10000		65.71
2	10000	10000	10000		68.65
3	10000	10000	10000		68.51
4	10000	10000	10000		66.57
5	10000	10000	10000		68.82
1	12000	12000	12000		68.83
2	12000	12000	12000		68.37
3	12000	12000	12000		68.42
4	12000	12000	12000		69.23
5	12000	12000	12000		69.23
