1	1000	1000	1000		362.81
2	1000	1000	1000		324.16
3	1000	1000	1000		325.35
4	1000	1000	1000		375.51
5	1000	1000	1000		344.24
1	1500	1500	1500		585.12
2	1500	1500	1500		597.64
3	1500	1500	1500		584.33
4	1500	1500	1500		591.93
5	1500	1500	1500		585.86
1	2000	2000	2000		705.63
2	2000	2000	2000		713.43
3	2000	2000	2000		675.41
4	2000	2000	2000		707.01
5	2000	2000	2000		713.55
1	3000	3000	3000		823.91
2	3000	3000	3000		830.92
3	3000	3000	3000		841.95
4	3000	3000	3000		832.89
5	3000	3000	3000		838.83
1	4000	4000	4000		844.85
2	4000	4000	4000		845.10
3	4000	4000	4000		834.64
4	4000	4000	4000		833.00
5	4000	4000	4000		826.79
1	5000	5000	5000		866.94
2	5000	5000	5000		864.10
3	5000	5000	5000		858.02
4	5000	5000	5000		865.66
5	5000	5000	5000		837.45
1	6000	6000	6000		904.92
2	6000	6000	6000		903.06
3	6000	6000	6000		902.22
4	6000	6000	6000		891.27
5	6000	6000	6000		887.75
1	8000	8000	8000		887.14
2	8000	8000	8000		891.39
3	8000	8000	8000		879.27
4	8000	8000	8000		911.54
5	8000	8000	8000		911.66
1	10000	10000	10000		915.33
2	10000	10000	10000		904.84
3	10000	10000	10000		905.81
4	10000	10000	10000		913.89
5	10000	10000	10000		909.12
1	12000	12000	12000		929.40
2	12000	12000	12000		922.77
3	12000	12000	12000		929.63
4	12000	12000	12000		933.94
5	12000	12000	12000		930.35
