1	1000	1000	1000		325.05
2	1000	1000	1000		313.91
3	1000	1000	1000		313.07
4	1000	1000	1000		296.77
5	1000	1000	1000		309.01
1	2000	2000	2000		562.12
2	2000	2000	2000		567.24
3	2000	2000	2000		567.74
4	2000	2000	2000		557.09
5	2000	2000	2000		568.04
1	3000	3000	3000		620.67
2	3000	3000	3000		625.72
3	3000	3000	3000		622.30
4	3000	3000	3000		624.28
5	3000	3000	3000		631.73
1	4000	4000	4000		656.54
2	4000	4000	4000		656.61
3	4000	4000	4000		659.18
4	4000	4000	4000		657.24
5	4000	4000	4000		656.31
1	5000	5000	5000		667.42
2	5000	5000	5000		673.94
3	5000	5000	5000		670.60
4	5000	5000	5000		670.12
5	5000	5000	5000		668.93
1	6000	6000	6000		696.72
2	6000	6000	6000		698.21
3	6000	6000	6000		689.02
4	6000	6000	6000		696.17
5	6000	6000	6000		697.80
1	8000	8000	8000		697.58
2	8000	8000	8000		699.14
3	8000	8000	8000		698.49
4	8000	8000	8000		698.98
5	8000	8000	8000		691.59
1	10000	10000	10000		706.04
2	10000	10000	10000		704.95
3	10000	10000	10000		696.46
4	10000	10000	10000		705.39
5	10000	10000	10000		705.20
1	12000	12000	12000		718.18
2	12000	12000	12000		718.04
3	12000	12000	12000		716.81
4	12000	12000	12000		719.59
5	12000	12000	12000		714.74
1	1000	1000	1000		351.02
2	1000	1000	1000		342.35
3	1000	1000	1000		339.79
4	1000	1000	1000		351.02
5	1000	1000	1000		357.01
1	2000	2000	2000		603.20
2	2000	2000	2000		599.53
3	2000	2000	2000		543.68
4	2000	2000	2000		576.04
5	2000	2000	2000		595.60
1	3000	3000	3000		661.22
2	3000	3000	3000		658.69
3	3000	3000	3000		662.44
4	3000	3000	3000		665.53
5	3000	3000	3000		665.63
1	4000	4000	4000		707.81
2	4000	4000	4000		706.97
3	4000	4000	4000		709.22
4	4000	4000	4000		704.92
5	4000	4000	4000		706.59
1	5000	5000	5000		710.68
2	5000	5000	5000		708.14
3	5000	5000	5000		710.11
4	5000	5000	5000		709.96
5	5000	5000	5000		711.62
1	6000	6000	6000		731.43
2	6000	6000	6000		729.90
3	6000	6000	6000		731.40
4	6000	6000	6000		732.57
5	6000	6000	6000		726.93
1	8000	8000	8000		736.46
2	8000	8000	8000		735.33
3	8000	8000	8000		736.90
4	8000	8000	8000		738.60
5	8000	8000	8000		737.65
1	10000	10000	10000		742.05
2	10000	10000	10000		737.88
3	10000	10000	10000		740.55
4	10000	10000	10000		740.61
5	10000	10000	10000		723.90
1	12000	12000	12000		747.10
2	12000	12000	12000		736.35
3	12000	12000	12000		747.96
4	12000	12000	12000		749.71
5	12000	12000	12000		751.31
1	14000	14000	14000		749.62
2	14000	14000	14000		755.33
3	14000	14000	14000		754.43
4	14000	14000	14000		749.78
5	14000	14000	14000		752.88
1	16000	16000	16000		737.01
2	16000	16000	16000		727.76
3	16000	16000	16000		724.30
4	16000	16000	16000		736.67
5	16000	16000	16000		731.76
1	18000	18000	18000		731.04
2	18000	18000	18000		736.82
3	18000	18000	18000		738.30
4	18000	18000	18000		740.81
5	18000	18000	18000		740.41
