1	1000	1000	1000		521.57
2	1000	1000	1000		459.40
3	1000	1000	1000		475.83
4	1000	1000	1000		470.90
5	1000	1000	1000		466.32
1	2000	2000	2000		1009.53
2	2000	2000	2000		1026.49
3	2000	2000	2000		1027.21
4	2000	2000	2000		1063.08
5	2000	2000	2000		1050.75
1	3000	3000	3000		1241.72
2	3000	3000	3000		1237.66
3	3000	3000	3000		1235.80
4	3000	3000	3000		1238.43
5	3000	3000	3000		1232.61
1	4000	4000	4000		1294.49
2	4000	4000	4000		1298.26
3	4000	4000	4000		1303.79
4	4000	4000	4000		1299.93
5	4000	4000	4000		1305.24
1	5000	5000	5000		1337.22
2	5000	5000	5000		1327.65
3	5000	5000	5000		1327.46
4	5000	5000	5000		1327.35
5	5000	5000	5000		1333.46
1	6000	6000	6000		1352.61
2	6000	6000	6000		1343.05
3	6000	6000	6000		1345.50
4	6000	6000	6000		1350.46
5	6000	6000	6000		1364.93
1	8000	8000	8000		1392.30
2	8000	8000	8000		1382.48
3	8000	8000	8000		1392.51
4	8000	8000	8000		1387.77
5	8000	8000	8000		1386.54
1	10000	10000	10000		1380.39
2	10000	10000	10000		1381.59
3	10000	10000	10000		1384.32
4	10000	10000	10000		1382.83
5	10000	10000	10000		1393.46
1	12000	12000	12000		1407.36
2	12000	12000	12000		1410.00
3	12000	12000	12000		1358.56
4	12000	12000	12000		1400.70
5	12000	12000	12000		1402.29
1	14000	14000	14000		1427.69
2	14000	14000	14000		1426.60
3	14000	14000	14000		1418.50
4	14000	14000	14000		1417.24
5	14000	14000	14000		1375.92
1	16000	16000	16000		1396.74
2	16000	16000	16000		1407.62
3	16000	16000	16000		1402.28
4	16000	16000	16000		1389.89
5	16000	16000	16000		1399.85
1	18000	18000	18000		1405.28
2	18000	18000	18000		1388.44
3	18000	18000	18000		1407.66
4	18000	18000	18000		1413.91
5	18000	18000	18000		1394.75
