1	1000	1000	1000		207.85
2	1000	1000	1000		19.73
3	1000	1000	1000		24.02
4	1000	1000	1000		70.29
5	1000	1000	1000		239.16
1	1500	1500	1500		29.97
2	1500	1500	1500		112.50
3	1500	1500	1500		38.63
4	1500	1500	1500		114.80
5	1500	1500	1500		345.88
1	2000	2000	2000		220.37
2	2000	2000	2000		136.66
3	2000	2000	2000		211.60
4	2000	2000	2000		136.06
5	2000	2000	2000		224.78
1	3000	3000	3000		341.31
2	3000	3000	3000		432.93
3	3000	3000	3000		593.92
4	3000	3000	3000		798.93
5	3000	3000	3000		499.66
1	4000	4000	4000		434.42
2	4000	4000	4000		576.69
3	4000	4000	4000		616.22
4	4000	4000	4000		581.13
5	4000	4000	4000		718.17
1	5000	5000	5000		823.27
2	5000	5000	5000		662.99
3	5000	5000	5000		527.96
4	5000	5000	5000		658.63
5	5000	5000	5000		614.94
1	6000	6000	6000		729.20
2	6000	6000	6000		789.13
3	6000	6000	6000		731.95
4	6000	6000	6000		785.78
5	6000	6000	6000		612.07
1	8000	8000	8000		680.00
2	8000	8000	8000		838.20
3	8000	8000	8000		816.28
4	8000	8000	8000		814.15
5	8000	8000	8000		819.34
1	10000	10000	10000		871.60
2	10000	10000	10000		870.45
3	10000	10000	10000		862.46
4	10000	10000	10000		832.22
5	10000	10000	10000		886.55
1	12000	12000	12000		888.34
2	12000	12000	12000		899.29
3	12000	12000	12000		883.31
4	12000	12000	12000		887.93
5	12000	12000	12000		890.30
