1	5000	5000	5000		68.653818
2	5000	5000	5000		68.009569
3	5000	5000	5000		68.515726
4	5000	5000	5000		68.269495
5	5000	5000	5000		67.905335
1	5000	5000	5000		68.001127
2	5000	5000	5000		68.450102
3	5000	5000	5000		67.630059
4	5000	5000	5000		68.724933
5	5000	5000	5000		68.694012
1	5000	5000	5000		68.543183
2	5000	5000	5000		68.267310
3	5000	5000	5000		68.361222
4	5000	5000	5000		68.020770
5	5000	5000	5000		67.650213
1	5000	5000	5000		68.498899
2	5000	5000	5000		68.619338
3	5000	5000	5000		68.609895
4	5000	5000	5000		67.366725
5	5000	5000	5000		67.955896
1	5000	5000	5000		68.196690
2	5000	5000	5000		68.524993
3	5000	5000	5000		67.723889
4	5000	5000	5000		68.535380
5	5000	5000	5000		68.710602
1	5000	5000	5000		68.688465
2	5000	5000	5000		67.942580
3	5000	5000	5000		68.618033
4	5000	5000	5000		68.770403
5	5000	5000	5000		67.909465
1	5000	5000	5000		68.405324
2	5000	5000	5000		68.509503
3	5000	5000	5000		68.681339
4	5000	5000	5000		67.227646
5	5000	5000	5000		68.100681
1	5000	5000	5000		68.568075
2	5000	5000	5000		68.251863
3	5000	5000	5000		68.081718
4	5000	5000	5000		67.888948
5	5000	5000	5000		68.415452
