1	1000	1000	1000		360.43
2	1000	1000	1000		316.64
3	1000	1000	1000		367.94
4	1000	1000	1000		359.14
5	1000	1000	1000		340.07
1	2000	2000	2000		596.84
2	2000	2000	2000		597.80
3	2000	2000	2000		599.38
4	2000	2000	2000		592.96
5	2000	2000	2000		581.47
1	3000	3000	3000		666.67
2	3000	3000	3000		666.31
3	3000	3000	3000		662.20
4	3000	3000	3000		661.79
5	3000	3000	3000		662.10
1	4000	4000	4000		707.91
2	4000	4000	4000		708.99
3	4000	4000	4000		708.19
4	4000	4000	4000		704.50
5	4000	4000	4000		705.54
1	5000	5000	5000		711.68
2	5000	5000	5000		710.35
3	5000	5000	5000		712.26
4	5000	5000	5000		703.18
5	5000	5000	5000		711.25
1	6000	6000	6000		730.02
2	6000	6000	6000		731.44
3	6000	6000	6000		731.28
4	6000	6000	6000		728.73
5	6000	6000	6000		728.61
1	8000	8000	8000		735.31
2	8000	8000	8000		733.02
3	8000	8000	8000		735.21
4	8000	8000	8000		735.79
5	8000	8000	8000		736.57
1	10000	10000	10000		742.11
2	10000	10000	10000		718.79
3	10000	10000	10000		742.02
4	10000	10000	10000		744.22
5	10000	10000	10000		742.47
1	12000	12000	12000		735.72
2	12000	12000	12000		748.71
3	12000	12000	12000		
4	12000	12000	12000		
5	12000	12000	12000		
1	14000	14000	14000		
2	14000	14000	14000		
3	14000	14000	14000		
4	14000	14000	14000		
