1000,,360.43
1000,,316.64
1000,,367.94
1000,,359.14
1000,,340.07
2000,,596.84
2000,,597.80
2000,,599.38
2000,,592.96
2000,,581.47
3000,,666.67
3000,,666.31
3000,,662.20
3000,,661.79
3000,,662.10
4000,,707.91
4000,,708.99
4000,,708.19
4000,,704.50
4000,,705.54
5000,,711.68
5000,,710.35
5000,,712.26
5000,,703.18
5000,,711.25
6000,,730.02
6000,,731.44
6000,,731.28
6000,,728.73
6000,,728.61
8000,,735.31
8000,,733.02
8000,,735.21
8000,,735.79
8000,,736.57
10000,,742.11
10000,,718.79
10000,,742.02
10000,,744.22
10000,,742.47
12000,,735.72
12000,,748.71
12000,,
12000,,
12000,,
14000,,
14000,,
14000,,
14000,,
